text,emotion_names,emotions_emojis,true_explanations
"Mujhe lagta hai ke traffic bohat tha, aur is wajah se gussa ho rahi hai.",['gussa'],gussa 😠,{'gussa': 'kyunke traffic bohat tha'}
Pehli baar koi reply nahi de raha tha aur uss lamhe mein mujhe bechaini mehsoos hui.,['bechaini'],bechaini 😟,{'bechaini': 'kyunke koi reply nahi de raha tha'}
"Aaj mein mein ne apna goal achieve kiya, is liye mein khushi mehsoos kar raha hoon.",['khushi'],khushi 😊,{'khushi': 'kyunke mein ne apna goal achieve kiya'}
"Kal dil uski taraf khinchta hai tha, aur mujhe mohabbat ka ehsaas hua. hairani ka sabab yeh tha ke unexpected result aaya.","['mohabbat', 'hairani']","mohabbat ❤️, hairani 😮","{'mohabbat': 'kyunke dil uski taraf khinchta hai', 'hairani': 'kyunke unexpected result aaya'}"
"Jab se mera naam announce hua, mein hairani mehsoos kar raha hoon.",['hairani'],hairani 😮,{'hairani': 'kyunke mera naam announce hua'}
"Mein mera phone kho gaya ke baare mein soch raha tha, is liye gham mehsoos hui. Mein koi reply nahi de raha tha ke baare mein soch raha tha, is liye bechaini mehsoos hui.","['gham', 'bechaini']","gham 😢, bechaini 😟","{'gham': 'kyunke mera phone kho gaya', 'bechaini': 'kyunke koi reply nahi de raha tha'}"
"Aaj mein interview cancel hogaya, is liye mein bechaini mehsoos kar raha hoon.",['bechaini'],bechaini 😟,{'bechaini': 'kyunke interview cancel hogaya'}
"Aaj mein woh muskurayi, is liye mein mohabbat mehsoos kar raha hoon.",['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke woh muskurayi'}
"Mujhe lagta hai ke support system strong hai, aur is wajah se umeed ho rahi hai. network baar baar ja raha tha ke baad mera dil gussa se bhar gaya.","['umeed', 'gussa']","umeed 🌈, gussa 😠","{'umeed': 'kyunke support system strong hai', 'gussa': 'kyunke network baar baar ja raha tha'}"
mehnat ki hai ke baad mera dil umeed se bhar gaya.,['umeed'],umeed 🌈,{'umeed': 'kyunke mehnat ki hai'}
"Mein ghar ki yaad aayi ke baare mein soch raha tha, is liye udaasi mehsoos hui.",['udaasi'],udaasi 😞,{'udaasi': 'kyunke ghar ki yaad aayi'}
khushi ka sabab yeh tha ke birthday par sab ne wish kiya. naye moka mila ke baad mera dil umeed se bhar gaya.,"['khushi', 'umeed']","khushi 😊, umeed 🌈","{'khushi': 'kyunke birthday par sab ne wish kiya', 'umeed': 'kyunke naye moka mila'}"
"Kal kisi ne propose kiya tha, aur mujhe hairani ka ehsaas hua.",['hairani'],hairani 😮,{'hairani': 'kyunke kisi ne propose kiya'}
"Kal raat bhar neend nahi aayi tha, aur mujhe bechaini ka ehsaas hua.",['bechaini'],bechaini 😟,{'bechaini': 'kyunke raat bhar neend nahi aayi'}
Waqt guzarta gaya aur woh muskurayi ki wajah se mohabbat badhti gayi.,['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke woh muskurayi'}
"Aaj mein purani diary mili, is liye mein jazbaat mein aana mehsoos kar raha hoon. Aaj mein mera phone kho gaya, is liye mein gham mehsoos kar raha hoon.","['jazbaat mein aana', 'gham']","jazbaat mein aana 🥺, gham 😢","{'jazbaat mein aana': 'kyunke purani diary mili', 'gham': 'kyunke mera phone kho gaya'}"
khushi tab mehsoos hui jab birthday par sab ne wish kiya.,['khushi'],khushi 😊,{'khushi': 'kyunke birthday par sab ne wish kiya'}
Pehli baar kisi apne ne dhoka diya aur uss lamhe mein mujhe gham mehsoos hui.,['gham'],gham 😢,{'gham': 'kyunke kisi apne ne dhoka diya'}
mohabbat ka sabab yeh tha ke uski aankhon mein kuch baat thi.,['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke uski aankhon mein kuch baat thi'}
dil se connect mehsoos hua ke baad mera dil mohabbat se bhar gaya.,['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke dil se connect mehsoos hua'}
"Aaj mein raat bhar neend nahi aayi, is liye mein bechaini mehsoos kar raha hoon.",['bechaini'],bechaini 😟,{'bechaini': 'kyunke raat bhar neend nahi aayi'}
"Kal dil se connect mehsoos hua tha, aur mujhe mohabbat ka ehsaas hua.",['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke dil se connect mehsoos hua'}
"Aaj mein woh muskurayi, is liye mein mohabbat mehsoos kar raha hoon. Kal traffic bohat tha tha, aur mujhe gussa ka ehsaas hua.","['mohabbat', 'gussa']","mohabbat ❤️, gussa 😠","{'mohabbat': 'kyunke woh muskurayi', 'gussa': 'kyunke traffic bohat tha'}"
Pehli baar uski aankhon mein kuch baat thi aur uss lamhe mein mujhe mohabbat mehsoos hui.,['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke uski aankhon mein kuch baat thi'}
"Waqt guzarta gaya aur network baar baar ja raha tha ki wajah se gussa badhti gayi. Mein woh muskurayi ke baare mein soch raha tha, is liye mohabbat mehsoos hui.","['gussa', 'mohabbat']","gussa 😠, mohabbat ❤️","{'gussa': 'kyunke network baar baar ja raha tha', 'mohabbat': 'kyunke woh muskurayi'}"
"ghabrahat ka sabab yeh tha ke unexpected call aaya. Kal woh har baat samajh leti hai tha, aur mujhe mohabbat ka ehsaas hua.","['ghabrahat', 'mohabbat']","ghabrahat 😰, mohabbat ❤️","{'ghabrahat': 'kyunke unexpected call aaya', 'mohabbat': 'kyunke woh har baat samajh leti hai'}"
Waqt guzarta gaya aur kisi ne pyar bhari baat ki ki wajah se mohabbat badhti gayi.,['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke kisi ne pyar bhari baat ki'}
woh har baat samajh leti hai ke baad mera dil mohabbat se bhar gaya.,['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke woh har baat samajh leti hai'}
"Mein meri dost se mulaqat hui ke baare mein soch raha tha, is liye khushi mehsoos hui.",['khushi'],khushi 😊,{'khushi': 'kyunke meri dost se mulaqat hui'}
kisi ne jhoot bola ke baad mera dil gussa se bhar gaya.,['gussa'],gussa 😠,{'gussa': 'kyunke kisi ne jhoot bola'}
"Mein woh muskurayi ke baare mein soch raha tha, is liye mohabbat mehsoos hui.",['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke woh muskurayi'}
khushi ka sabab yeh tha ke mujhe promotion mil gaya. unexpected result aaya ke baad mera dil hairani se bhar gaya.,"['khushi', 'hairani']","khushi 😊, hairani 😮","{'khushi': 'kyunke mujhe promotion mil gaya', 'hairani': 'kyunke unexpected result aaya'}"
hairani ka sabab yeh tha ke news bohat different thi. Waqt guzarta gaya aur kisi ne baat ka bura manaya ki wajah se gussa badhti gayi.,"['hairani', 'gussa']","hairani 😮, gussa 😠","{'hairani': 'kyunke news bohat different thi', 'gussa': 'kyunke kisi ne baat ka bura manaya'}"
gussa tab mehsoos hui jab koi baar baar tang kar raha tha. Waqt guzarta gaya aur unexpected result aaya ki wajah se hairani badhti gayi.,"['gussa', 'hairani']","gussa 😠, hairani 😮","{'gussa': 'kyunke koi baar baar tang kar raha tha', 'hairani': 'kyunke unexpected result aaya'}"
jazbaat mein aana ka sabab yeh tha ke old memories yaad aayi. bechaini ka sabab yeh tha ke raat bhar kuch ajeeb sapne aaye.,"['jazbaat mein aana', 'bechaini']","jazbaat mein aana 🥺, bechaini 😟","{'jazbaat mein aana': 'kyunke old memories yaad aayi', 'bechaini': 'kyunke raat bhar kuch ajeeb sapne aaye'}"
"bechaini tab mehsoos hui jab raat bhar kuch ajeeb sapne aaye. Mein kisi ne pyar bhari baat ki ke baare mein soch raha tha, is liye mohabbat mehsoos hui.","['bechaini', 'mohabbat']","bechaini 😟, mohabbat ❤️","{'bechaini': 'kyunke raat bhar kuch ajeeb sapne aaye', 'mohabbat': 'kyunke kisi ne pyar bhari baat ki'}"
meri dost se mulaqat hui ke baad mera dil khushi se bhar gaya. Pehli baar interview cancel hogaya aur uss lamhe mein mujhe bechaini mehsoos hui.,"['khushi', 'bechaini']","khushi 😊, bechaini 😟","{'khushi': 'kyunke meri dost se mulaqat hui', 'bechaini': 'kyunke interview cancel hogaya'}"
"mohabbat ka sabab yeh tha ke dil uski taraf khinchta hai. Jab se meri dost se mulaqat hui, mein khushi mehsoos kar raha hoon.","['mohabbat', 'khushi']","mohabbat ❤️, khushi 😊","{'mohabbat': 'kyunke dil uski taraf khinchta hai', 'khushi': 'kyunke meri dost se mulaqat hui'}"
gussa ka sabab yeh tha ke kisi ne jhoot bola.,['gussa'],gussa 😠,{'gussa': 'kyunke kisi ne jhoot bola'}
mohabbat ka sabab yeh tha ke dil se connect mehsoos hua.,['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke dil se connect mehsoos hua'}
"Mujhe lagta hai ke mein ne apna goal achieve kiya, aur is wajah se khushi ho rahi hai.",['khushi'],khushi 😊,{'khushi': 'kyunke mein ne apna goal achieve kiya'}
"Mein kisi ne pyar bhari baat ki ke baare mein soch raha tha, is liye mohabbat mehsoos hui.",['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke kisi ne pyar bhari baat ki'}
khushi ka sabab yeh tha ke mera result acha aaya. gussa ka sabab yeh tha ke kisi ne jhoot bola.,"['khushi', 'gussa']","khushi 😊, gussa 😠","{'khushi': 'kyunke mera result acha aaya', 'gussa': 'kyunke kisi ne jhoot bola'}"
"Kal dost achanak mil gaya tha, aur mujhe hairani ka ehsaas hua. mohabbat ka sabab yeh tha ke kisi ne pyar bhari baat ki.","['hairani', 'mohabbat']","hairani 😮, mohabbat ❤️","{'hairani': 'kyunke dost achanak mil gaya', 'mohabbat': 'kyunke kisi ne pyar bhari baat ki'}"
gham tab mehsoos hui jab best friend ne city chhor di. udaasi tab mehsoos hui jab akela mehsoos kar raha tha.,"['gham', 'udaasi']","gham 😢, udaasi 😞","{'gham': 'kyunke best friend ne city chhor di', 'udaasi': 'kyunke akela mehsoos kar raha tha'}"
mehnat ki hai ke baad mera dil umeed se bhar gaya.,['umeed'],umeed 🌈,{'umeed': 'kyunke mehnat ki hai'}
mera phone kho gaya ke baad mera dil gham se bhar gaya.,['gham'],gham 😢,{'gham': 'kyunke mera phone kho gaya'}
"jazbaat mein aana tab mehsoos hui jab kisi ne dil ki baat boli. Mein mehnat ki hai ke baare mein soch raha tha, is liye umeed mehsoos hui.","['jazbaat mein aana', 'umeed']","jazbaat mein aana 🥺, umeed 🌈","{'jazbaat mein aana': 'kyunke kisi ne dil ki baat boli', 'umeed': 'kyunke mehnat ki hai'}"
"Mein traffic bohat tha ke baare mein soch raha tha, is liye gussa mehsoos hui.",['gussa'],gussa 😠,{'gussa': 'kyunke traffic bohat tha'}
"Mein sab theek hojayega ke baare mein soch raha tha, is liye umeed mehsoos hui. Pehli baar dil se connect mehsoos hua aur uss lamhe mein mujhe mohabbat mehsoos hui.","['umeed', 'mohabbat']","umeed 🌈, mohabbat ❤️","{'umeed': 'kyunke sab theek hojayega', 'mohabbat': 'kyunke dil se connect mehsoos hua'}"
"ghabrahat ka sabab yeh tha ke naye logon se milna tha. Jab se pet mar gaya, mein gham mehsoos kar raha hoon.","['ghabrahat', 'gham']","ghabrahat 😰, gham 😢","{'ghabrahat': 'kyunke naye logon se milna tha', 'gham': 'kyunke pet mar gaya'}"
kisi ka reply nahi aaya ke baad mera dil bechaini se bhar gaya. udaasi tab mehsoos hui jab yaadein satane lagi.,"['bechaini', 'udaasi']","bechaini 😟, udaasi 😞","{'bechaini': 'kyunke kisi ka reply nahi aaya', 'udaasi': 'kyunke yaadein satane lagi'}"
"Mein mera result acha aaya ke baare mein soch raha tha, is liye khushi mehsoos hui.",['khushi'],khushi 😊,{'khushi': 'kyunke mera result acha aaya'}
Waqt guzarta gaya aur birthday par sab ne wish kiya ki wajah se khushi badhti gayi. ghabrahat ka sabab yeh tha ke paper mushkil tha.,"['khushi', 'ghabrahat']","khushi 😊, ghabrahat 😰","{'khushi': 'kyunke birthday par sab ne wish kiya', 'ghabrahat': 'kyunke paper mushkil tha'}"
"Kal dil uski taraf khinchta hai tha, aur mujhe mohabbat ka ehsaas hua.",['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke dil uski taraf khinchta hai'}
"Jab se emotional gana suna, mein jazbaat mein aana mehsoos kar raha hoon.",['jazbaat mein aana'],jazbaat mein aana 🥺,{'jazbaat mein aana': 'kyunke emotional gana suna'}
Waqt guzarta gaya aur uski aankhon mein kuch baat thi ki wajah se mohabbat badhti gayi.,['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke uski aankhon mein kuch baat thi'}
"Jab se kisi ne unfair treat kiya, mein gussa mehsoos kar raha hoon.",['gussa'],gussa 😠,{'gussa': 'kyunke kisi ne unfair treat kiya'}
"Aaj mein yaadein satane lagi, is liye mein udaasi mehsoos kar raha hoon. umeed tab mehsoos hui jab sab theek hojayega.","['udaasi', 'umeed']","udaasi 😞, umeed 🌈","{'udaasi': 'kyunke yaadein satane lagi', 'umeed': 'kyunke sab theek hojayega'}"
"Aaj mein akela mehsoos kar raha hoon, is liye mein udaasi mehsoos kar raha hoon.",['udaasi'],udaasi 😞,{'udaasi': 'kyunke akela mehsoos kar raha hoon'}
"Waqt guzarta gaya aur kisi ne bura kaha ki wajah se gham badhti gayi. Aaj mein birthday par sab ne wish kiya, is liye mein khushi mehsoos kar raha hoon.","['gham', 'khushi']","gham 😢, khushi 😊","{'gham': 'kyunke kisi ne bura kaha', 'khushi': 'kyunke birthday par sab ne wish kiya'}"
"Jab se old memories yaad aayi, mein jazbaat mein aana mehsoos kar raha hoon. Aaj mein dost ne baat karna chhor diya, is liye mein udaasi mehsoos kar raha hoon.","['jazbaat mein aana', 'udaasi']","jazbaat mein aana 🥺, udaasi 😞","{'jazbaat mein aana': 'kyunke old memories yaad aayi', 'udaasi': 'kyunke dost ne baat karna chhor diya'}"
"Waqt guzarta gaya aur network baar baar ja raha tha ki wajah se gussa badhti gayi. Aaj mein kisi ne dil se baat ki, is liye mein jazbaat mein aana mehsoos kar raha hoon.","['gussa', 'jazbaat mein aana']","gussa 😠, jazbaat mein aana 🥺","{'gussa': 'kyunke network baar baar ja raha tha', 'jazbaat mein aana': 'kyunke kisi ne dil se baat ki'}"
"Jab se dost ne baat karna chhor diya, mein udaasi mehsoos kar raha hoon.",['udaasi'],udaasi 😞,{'udaasi': 'kyunke dost ne baat karna chhor diya'}
Waqt guzarta gaya aur ghar ki yaad aayi ki wajah se udaasi badhti gayi.,['udaasi'],udaasi 😞,{'udaasi': 'kyunke ghar ki yaad aayi'}
hairani tab mehsoos hui jab unexpected result aaya.,['hairani'],hairani 😮,{'hairani': 'kyunke unexpected result aaya'}
"Mujhe lagta hai ke acha response mila, aur is wajah se umeed ho rahi hai.",['umeed'],umeed 🌈,{'umeed': 'kyunke acha response mila'}
birthday par sab ne wish kiya ke baad mera dil khushi se bhar gaya.,['khushi'],khushi 😊,{'khushi': 'kyunke birthday par sab ne wish kiya'}
"Aaj mein ghar ki yaad aayi, is liye mein udaasi mehsoos kar raha hoon. mohabbat tab mehsoos hui jab dil se connect mehsoos hua.","['udaasi', 'mohabbat']","udaasi 😞, mohabbat ❤️","{'udaasi': 'kyunke ghar ki yaad aayi', 'mohabbat': 'kyunke dil se connect mehsoos hua'}"
mohabbat tab mehsoos hui jab dil se connect mehsoos hua.,['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke dil se connect mehsoos hua'}
"mohabbat ka sabab yeh tha ke dil se connect mehsoos hua. Aaj mein kisi ne unfair treat kiya, is liye mein gussa mehsoos kar raha hoon.","['mohabbat', 'gussa']","mohabbat ❤️, gussa 😠","{'mohabbat': 'kyunke dil se connect mehsoos hua', 'gussa': 'kyunke kisi ne unfair treat kiya'}"
interview tha ke baad mera dil ghabrahat se bhar gaya.,['ghabrahat'],ghabrahat 😰,{'ghabrahat': 'kyunke interview tha'}
"Mujhe lagta hai ke hardwork ka phal milne wala hai, aur is wajah se umeed ho rahi hai. hairani ka sabab yeh tha ke news bohat different thi.","['umeed', 'hairani']","umeed 🌈, hairani 😮","{'umeed': 'kyunke hardwork ka phal milne wala hai', 'hairani': 'kyunke news bohat different thi'}"
"mohabbat tab mehsoos hui jab kisi ne pyar bhari baat ki. Mein kisi ne bura kaha ke baare mein soch raha tha, is liye gham mehsoos hui.","['mohabbat', 'gham']","mohabbat ❤️, gham 😢","{'mohabbat': 'kyunke kisi ne pyar bhari baat ki', 'gham': 'kyunke kisi ne bura kaha'}"
"Kal kisi ka reply nahi aaya tha, aur mujhe bechaini ka ehsaas hua.",['bechaini'],bechaini 😟,{'bechaini': 'kyunke kisi ka reply nahi aaya'}
"Mein acha response mila ke baare mein soch raha tha, is liye umeed mehsoos hui.",['umeed'],umeed 🌈,{'umeed': 'kyunke acha response mila'}
"Mein akela mehsoos kar raha hoon ke baare mein soch raha tha, is liye udaasi mehsoos hui.",['udaasi'],udaasi 😞,{'udaasi': 'kyunke akela mehsoos kar raha hoon'}
"Aaj mein film emotional thi, is liye mein jazbaat mein aana mehsoos kar raha hoon.",['jazbaat mein aana'],jazbaat mein aana 🥺,{'jazbaat mein aana': 'kyunke film emotional thi'}
khushi tab mehsoos hui jab mera result acha aaya. gussa ka sabab yeh tha ke kisi ne jhoot bola.,"['khushi', 'gussa']","khushi 😊, gussa 😠","{'khushi': 'kyunke mera result acha aaya', 'gussa': 'kyunke kisi ne jhoot bola'}"
"Mein hardwork ka phal milne wala hai ke baare mein soch raha tha, is liye umeed mehsoos hui. Pehli baar mujhe kuch samaj nahi aa raha tha aur uss lamhe mein mujhe bechaini mehsoos hui.","['umeed', 'bechaini']","umeed 🌈, bechaini 😟","{'umeed': 'kyunke hardwork ka phal milne wala hai', 'bechaini': 'kyunke mujhe kuch samaj nahi aa raha tha'}"
"Jab se kisi ne jhoot bola, mein gussa mehsoos kar raha hoon.",['gussa'],gussa 😠,{'gussa': 'kyunke kisi ne jhoot bola'}
"Aaj mein emotional gana suna, is liye mein jazbaat mein aana mehsoos kar raha hoon. Waqt guzarta gaya aur interview tha ki wajah se ghabrahat badhti gayi.","['jazbaat mein aana', 'ghabrahat']","jazbaat mein aana 🥺, ghabrahat 😰","{'jazbaat mein aana': 'kyunke emotional gana suna', 'ghabrahat': 'kyunke interview tha'}"
"Jab se paper mushkil tha, mein ghabrahat mehsoos kar raha hoon.",['ghabrahat'],ghabrahat 😰,{'ghabrahat': 'kyunke paper mushkil tha'}
"presentation deni thi ke baad mera dil ghabrahat se bhar gaya. Kal news bohat different thi tha, aur mujhe hairani ka ehsaas hua.","['ghabrahat', 'hairani']","ghabrahat 😰, hairani 😮","{'ghabrahat': 'kyunke presentation deni thi', 'hairani': 'kyunke news bohat different thi'}"
Waqt guzarta gaya aur old memories yaad aayi ki wajah se jazbaat mein aana badhti gayi. udaasi ka sabab yeh tha ke akela mehsoos kar raha hoon.,"['jazbaat mein aana', 'udaasi']","jazbaat mein aana 🥺, udaasi 😞","{'jazbaat mein aana': 'kyunke old memories yaad aayi', 'udaasi': 'kyunke akela mehsoos kar raha hoon'}"
"Mujhe lagta hai ke dost achanak mil gaya, aur is wajah se hairani ho rahi hai. Mein kisi ne pyar bhari baat ki ke baare mein soch raha tha, is liye mohabbat mehsoos hui.","['hairani', 'mohabbat']","hairani 😮, mohabbat ❤️","{'hairani': 'kyunke dost achanak mil gaya', 'mohabbat': 'kyunke kisi ne pyar bhari baat ki'}"
mohabbat ka sabab yeh tha ke kisi ne pyar bhari baat ki. Waqt guzarta gaya aur hardwork ka phal milne wala hai ki wajah se umeed badhti gayi.,"['mohabbat', 'umeed']","mohabbat ❤️, umeed 🌈","{'mohabbat': 'kyunke kisi ne pyar bhari baat ki', 'umeed': 'kyunke hardwork ka phal milne wala hai'}"
"Kal yaadein satane lagi tha, aur mujhe udaasi ka ehsaas hua. Kal unexpected result aaya tha, aur mujhe hairani ka ehsaas hua.","['udaasi', 'hairani']","udaasi 😞, hairani 😮","{'udaasi': 'kyunke yaadein satane lagi', 'hairani': 'kyunke unexpected result aaya'}"
birthday par sab ne wish kiya ke baad mera dil khushi se bhar gaya. woh muskurayi ke baad mera dil mohabbat se bhar gaya.,"['khushi', 'mohabbat']","khushi 😊, mohabbat ❤️","{'khushi': 'kyunke birthday par sab ne wish kiya', 'mohabbat': 'kyunke woh muskurayi'}"
"Mujhe lagta hai ke meri dost se mulaqat hui, aur is wajah se khushi ho rahi hai.",['khushi'],khushi 😊,{'khushi': 'kyunke meri dost se mulaqat hui'}
"Kal kisi ka reply nahi aaya tha, aur mujhe bechaini ka ehsaas hua.",['bechaini'],bechaini 😟,{'bechaini': 'kyunke kisi ka reply nahi aaya'}
Pehli baar kisi ne propose kiya aur uss lamhe mein mujhe hairani mehsoos hui.,['hairani'],hairani 😮,{'hairani': 'kyunke kisi ne propose kiya'}
ghabrahat ka sabab yeh tha ke result ka intezar tha.,['ghabrahat'],ghabrahat 😰,{'ghabrahat': 'kyunke result ka intezar tha'}
khushi tab mehsoos hui jab meri dost se mulaqat hui.,['khushi'],khushi 😊,{'khushi': 'kyunke meri dost se mulaqat hui'}
"Mein support system strong hai ke baare mein soch raha tha, is liye umeed mehsoos hui.",['umeed'],umeed 🌈,{'umeed': 'kyunke support system strong hai'}
"Aaj mein kisi ne ignore kiya, is liye mein udaasi mehsoos kar raha hoon. bechaini tab mehsoos hui jab koi reply nahi de raha tha.","['udaasi', 'bechaini']","udaasi 😞, bechaini 😟","{'udaasi': 'kyunke kisi ne ignore kiya', 'bechaini': 'kyunke koi reply nahi de raha tha'}"
"Mujhe lagta hai ke kisi ne baat ka bura manaya, aur is wajah se gussa ho rahi hai. Mein news bohat different thi ke baare mein soch raha tha, is liye hairani mehsoos hui.","['gussa', 'hairani']","gussa 😠, hairani 😮","{'gussa': 'kyunke kisi ne baat ka bura manaya', 'hairani': 'kyunke news bohat different thi'}"
jazbaat mein aana ka sabab yeh tha ke kisi ne dil se baat ki.,['jazbaat mein aana'],jazbaat mein aana 🥺,{'jazbaat mein aana': 'kyunke kisi ne dil se baat ki'}
"Mein kisi ne propose kiya ke baare mein soch raha tha, is liye hairani mehsoos hui.",['hairani'],hairani 😮,{'hairani': 'kyunke kisi ne propose kiya'}
Waqt guzarta gaya aur mujhe promotion mil gaya ki wajah se khushi badhti gayi.,['khushi'],khushi 😊,{'khushi': 'kyunke mujhe promotion mil gaya'}
"Jab se raat bhar kuch ajeeb sapne aaye, mein bechaini mehsoos kar raha hoon. gham tab mehsoos hui jab mera phone kho gaya.","['bechaini', 'gham']","bechaini 😟, gham 😢","{'bechaini': 'kyunke raat bhar kuch ajeeb sapne aaye', 'gham': 'kyunke mera phone kho gaya'}"
mehnat ki hai ke baad mera dil umeed se bhar gaya.,['umeed'],umeed 🌈,{'umeed': 'kyunke mehnat ki hai'}
"Jab se sab theek hojayega, mein umeed mehsoos kar raha hoon.",['umeed'],umeed 🌈,{'umeed': 'kyunke sab theek hojayega'}
hardwork ka phal milne wala hai ke baad mera dil umeed se bhar gaya.,['umeed'],umeed 🌈,{'umeed': 'kyunke hardwork ka phal milne wala hai'}
kisi ne propose kiya ke baad mera dil hairani se bhar gaya.,['hairani'],hairani 😮,{'hairani': 'kyunke kisi ne propose kiya'}
"Mein woh har baat samajh leti hai ke baare mein soch raha tha, is liye mohabbat mehsoos hui.",['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke woh har baat samajh leti hai'}
news bohat different thi ke baad mera dil hairani se bhar gaya.,['hairani'],hairani 😮,{'hairani': 'kyunke news bohat different thi'}
"Mein yaadein satane lagi ke baare mein soch raha tha, is liye udaasi mehsoos hui. Mein mera result acha aaya ke baare mein soch raha tha, is liye khushi mehsoos hui.","['udaasi', 'khushi']","udaasi 😞, khushi 😊","{'udaasi': 'kyunke yaadein satane lagi', 'khushi': 'kyunke mera result acha aaya'}"
"Jab se kisi ne propose kiya, mein hairani mehsoos kar raha hoon.",['hairani'],hairani 😮,{'hairani': 'kyunke kisi ne propose kiya'}
interview tha ke baad mera dil ghabrahat se bhar gaya.,['ghabrahat'],ghabrahat 😰,{'ghabrahat': 'kyunke interview tha'}
"Kal kisi ne pyar bhari baat ki tha, aur mujhe mohabbat ka ehsaas hua.",['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke kisi ne pyar bhari baat ki'}
